Question,test_rag_Precision@3,test_rag_Recall@3,test_rag_ROUGE-L,test_rag_Response_Time(s),test_chatgpt_Precision@3,test_chatgpt_Recall@3,test_chatgpt_ROUGE-L,test_chatgpt_Response_Time(s)
What is the ideal temperature range for composting?,1,1,0,4.04,1,1,0.11,0.34
How can moisture in compost be reduced?,1,1,0.49,3.13,0.33,0.33,0.1,0.34
Why is oxygen important in composting?,0.67,0.67,0.06,4.84,1,1,0,0.33
What materials should not be added to compost?,1,1,0.19,1.96,1,1,0,0.35
What is the optimal moisture content for composting?,1,1,0,4.25,1,1,0.12,0.34
How long does the composting process usually take?,1,1,0.14,2.25,1,1,0,0.33
What is the C:N ratio in composting?,1,1,0.37,2.78,1,1,0.11,0.34
How can we increase the nitrogen content in compost?,1,1,0.24,2.62,1,1,0,0.33
How can we increase the carbon content in compost?,1,1,0,3.47,1,1,0,0.43
What are the signs of a well-functioning compost pile?,1,1,0.06,8.88,1,1,0,0.63
Why should compost be turned regularly?,1,1,0.15,1.68,1,1,0,0.38
What happens if the compost pile becomes too dry?,1,1,0.56,2.31,0.67,0.67,0,0.33
What happens if the compost pile becomes too wet?,1,1,0,4.2,0,0,0,0.44
What role do microorganisms play in composting?,0.67,0.67,0,3.36,0.33,0.33,0,0.35
What are the benefits of using compost in soil?,1,1,0.11,2.02,1,1,0,0.38
